,brand,model
0,realme,c55
1,samsung,galaxy m23
2,motorola,moto g13
3,xiaomi,redmi note 11s
4,nothing,phone (2)
5,motorola,moto e32s
6,nothing,phone (2)
7,realme,9 pro
8,samsung,galaxy m23
9,xiaomi,redmi note 12
10,poco,m4
11,realme,c31
12,realme,c55
13,xiaomi,redmi note 12
14,xiaomi,redmi note 12
15,xiaomi,redmi note 12
16,apple,iphone 14
17,xiaomi,redmi note 12
18,samsung,galaxy m13
19,xiaomi,redmi 10c
20,realme,narzo 50i
21,realme,11 pro
22,poco,x5 pro
23,xiaomi,redmi note 11
24,realme,c53
25,apple,iphone 14
26,motorola,moto e20
27,realme,10 amoled
28,samsung,galaxy m53
29,realme,10 amoled
30,realme,c53
31,apple,iphone 14
32,realme,11 pro
33,realme,10 amoled
34,poco,x5 pro
35,realme,10 amoled
36,poco,m4
37,xiaomi,redmi note 12
38,samsung,galaxy m33
39,apple,iphone 14
40,realme,c31
41,xiaomi,redmi note 12
42,xiaomi,redmi 10c
43,realme,11 pro
44,realme,9
45,motorola,moto g23
46,realme,c33
47,realme,narzo 50a
48,xiaomi,redmi 9c
49,realme,11 pro
50,xiaomi,redmi a1
51,motorola,moto g32
52,poco,x5
53,xiaomi,redmi note 12
54,nothing,phone (2)
55,motorola,moto g73
56,samsung,galaxy a54
57,xiaomi,redmi a1
58,xiaomi,redmi a1
59,xiaomi,redmi a1
60,xiaomi,redmi 12c
61,xiaomi,redmi 10a
62,realme,9
63,xiaomi,redmi note 12
64,xiaomi,redmi note 12
65,realme,gt2
66,xiaomi,redmi note 12
67,xiaomi,redmi note 12
68,motorola,moto g13
69,xiaomi,redmi note 12
70,xiaomi,redmi 10a
71,realme,narzo 50a
72,realme,c30
73,motorola,moto e13
74,motorola,edge 30
75,xiaomi,redmi 10a
76,realme,c30
77,xiaomi,redmi note 12
78,xiaomi,redmi 12c
79,xiaomi,11 pro
80,xiaomi,redmi note 12
81,realme,gt neo 3
82,realme,9
83,samsung,galaxy a34
84,xiaomi,redmi note 12
85,xiaomi,redmi note 12
86,xiaomi,11 pro
87,realme,c33
88,apple,iphone 14
89,poco,c40
90,apple,iphone 14
91,xiaomi,note 12s
92,realme,gt2
93,apple,iphone 14
94,apple,iphone 14
95,nothing,phone (2)
96,poco,f5
97,xiaomi,11 pro
98,samsung,galaxy m53
99,samsung,galaxy m53
100,oppo,reno8
101,samsung,galaxy a34
102,poco,m4
103,xiaomi,redmi 12c
104,motorola,moto g32
105,xiaomi,redmi note 12
106,apple,iphone 12
107,samsung,galaxy m33
108,alcatel,1 (2021)
109,alcatel,1 (2021)
110,oppo,reno8
111,poco,x5 pro
112,realme,gt neo 3t
113,xiaomi,redmi 12c
114,apple,iphone 11
115,apple,iphone 11
116,apple,iphone 14
117,samsung,galaxy z flip4
118,samsung,galaxy m33
119,oppo,a17
120,samsung,galaxy s22
121,apple,iphone 14
122,xiaomi,redmi 12c
